"Title","Average_2014","Total_2014","Average_2015","Total_2015","Average_2016","Total_2016","Average_2017","Total_2017","Average_2018","Total_2018","Average_2019","Total_2019","Average_2020","Total_2020"
"HIGHER EDUCATION OFFICER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"HIGHER EDUCATION OFFICER/ASST ADMINISTRATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"HIGHWAY TRANSPORTATION SPECIALIST","$12,184.22","$1,498,659","$13,146.90","$1,827,419","$12,637.70","$1,680,814","$12,732","$1,591,526","$11,704.10","$1,322,564","$10,209.40","$1,255,757",NA,NA
"HIGHWAYS AND SEWERS INSPECTOR","$8,603.12","$714,059","$8,715.82","$793,140","$9,871.59","$937,801","$9,962","$956,369","$8,367.91","$744,744","$7,886.60","$678,248","$7,373.95","$589,916"
"HOMEMAKER","$4,379.22","$21,896","$5,034.90","$25,174","$4,200.35","$16,801","$1,981","$7,922","$1,699.67","$6,799","$3,311.92","$13,248","$5,211.69","$20,847"
"HOSTLER","$4,380.59","$83,231","$4,067.24","$73,210","$5,178.13","$77,672","$5,733","$103,185","$5,652.97","$101,754","$6,161.06","$104,738","$7,119.74","$121,036"
"HOUSEKEEPER","$5,304.81","$15,914","$7,834.70","$15,669","$2,733.27","$5,467","$883","$883","$21,398.11","$64,194","$20,300.03","$60,900","$20,396.02","$40,792"
"HOUSING ASSISTANT","$1,117.79","$780,216","$387.38","$262,647","$605.70","$393,703","$707","$429,192","$676.02","$409,671","$514.52","$308,199","$1,411.15","$835,398"
"HOUSING CARETAKER",NA,NA,"$13,630.42","$2,985,063","$15,378.18","$3,029,501",NA,NA,NA,NA,"$10,078.03","$60,468",NA,NA
"HOUSING CONSULTANT",NA,NA,NA,NA,NA,NA,"$0","$0",NA,NA,NA,NA,NA,NA
"HOUSING DEVELOPMENT SPECIALIST","$1,376.12","$107,338","$1,437.75","$94,892","$2,341.73","$189,680","$2,162","$127,537","$1,665.24","$123,228","$2,788.99","$217,541","$2,194.46","$221,641"
"HOUSING DEVELOPMENT SPECIALIST TRAINEE","$0.00","$0","$49.25","$98","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"HOUSING EXTERMINATOR","$1,573.01","$215,503","$320.08","$42,891","$936.95","$118,992","$1,429","$147,155","$2,341.87","$206,084","$1,444.25","$128,538","$3,577.50","$289,777"
"HOUSING EXTERMINATOR-AL II & III",NA,NA,NA,NA,NA,NA,NA,NA,"$3,943.30","$19,716","$3,433.80","$24,037","$13,131.75","$196,976"
"HOUSING EXTERMINATOR-AL IV",NA,NA,NA,NA,NA,NA,NA,NA,"$6,852.77","$6,853","$12,301.67","$24,603","$4,950.23","$14,851"
"HOUSING MANAGER","$5,710.26","$839,408","$3,228.33","$493,935","$4,981.39","$742,226","$4,909","$726,479","$4,933.42","$740,014","$4,069.50","$586,008","$8,356.23","$1,144,803"
"HOUSING STOCK WORKER","$715.85","$17,896","$75.94","$1,595","$531.52","$9,036","$360","$5,407","$113.17","$1,698","$13.98","$238","$737.78","$8,116"
"HUMAN RESOURCES ADMINISTRATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"HUMAN RESOURCES TECHNICIAN","$109.68","$439","$134.79","$404","$407.78","$1,223","$1,158","$2,317","$492.56","$985","$283.56","$567","$143.53","$287"
"HUMAN RIGHTS SPECIALIST","$94.43","$944","$135.13","$1,351","$239.77","$2,398","$0","$0","$1,101.53","$9,914","$391.47","$3,915","$15.78","$189"
"INCINERATOR FACILITY MANAGER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"INDUSTRIAL HYGIENIST","$7,747.84","$379,644","$5,886.97","$312,009","$5,409.35","$319,152","$5,992","$341,522","$4,509.90","$248,044","$4,582.01","$233,683","$4,698.24","$258,403"
"INSPECTOR","$3,246.80","$1,327,941","$3,194.78","$1,332,223","$3,336.90","$1,615,061","$3,876","$2,092,980","$4,420.68","$2,506,523","$3,213.85","$1,999,015","$1,625.19","$554,189"
"INSPECTOR BOILERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$9,591.89","$67,143"
"INSPECTOR CONSTRUCTION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$11,651.91","$3,390,707"
"INSPECTOR ELEVATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$17,444.54","$488,447"
"INSPECTOR GENERAL","$1,548.34","$21,677","$480.84","$8,655","$468.53","$10,308","$0","$0","$0.00","$0","$14.29","$300","$0.00","$0"
"INSPECTOR HOISTS AND RIGGING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$20,962.77","$104,814"
"INSPECTOR PLUMBING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$6,132.68","$331,165"
"INSTITUTIONAL AIDE","$5,243.04","$319,826","$5,534.62","$332,077","$9,717.40","$524,740","$14,697","$778,929","$13,728.25","$686,413","$12,825.44","$795,177","$15,992.25","$927,550"
"INSTRUCTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"INSTRUMENTAL SPECIALIST","$3,024.40","$120,976","$1,772.77","$69,138","$1,764.91","$72,361","$2,537","$98,936","$3,522.07","$116,228","$3,105.59","$127,329","$3,720.06","$126,482"
"INSTRUMENTAL SPECIALIST TRAINEE",NA,NA,NA,NA,"$178.28","$713","$630","$1,259",NA,NA,NA,NA,"$2,045.91","$12,275"
"INSURANCE ADVISOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"INTELLIGENCE RESEARCH MANAGER","$75.62","$378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INTELLIGENCE RESEARCH MANAGER-PD",NA,NA,"$46.41","$186","$6,738.78","$20,216","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"INTELLIGENCE RESEARCH SPECIALIST","$13,680.39","$560,896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INTELLIGENCE RESEARCH SPECIALIST-PD",NA,NA,"$13,105.27","$537,316","$13,104.48","$563,493","$13,356","$560,931","$12,373.82","$519,700","$13,117.21","$550,923","$12,405.37","$471,404"
"INTERPRETER","$4,161.22","$87,386","$5,089.62","$66,165","$4,041.98","$68,714","$1,637","$29,463","$2,224.58","$33,369","$2,028.48","$36,513","$1,874.95","$33,749"
"INTERPRETER/TRANSLATOR","$4.33","$100","$0.13","$3","$0.00","$0","$0","$0","$0.00","$0","$20.17","$403","$5.90","$112"
"INVESTIGATIVE MANAGER","$0.00","$0","$4.00","$20","$1,175.19","$15,277","$344","$5,167","$404.98","$6,480","$676.04","$9,465","$412.59","$6,189"
"INVESTIGATOR","$3,481.37","$751,977","$3,379.54","$736,739","$4,012.22","$902,750","$5,467","$1,186,413","$4,877.88","$1,190,203","$6,333.87","$1,748,147","$5,162.62","$1,646,875"
"INVESTIGATOR EMPL DISC","$3,663.63","$179,518","$4,084.46","$228,730","$2,161.46","$134,011","$1,895","$119,403","$1,695.03","$106,787","$1,549.39","$83,667","$987.40","$40,483"
"INVESTIGATOR TRAINEE","$6,264.60","$93,969","$6,162.86","$55,466","$5,856.11","$35,137","$1,532","$7,662","$1,190.00","$4,760","$3,220.29","$28,983","$4,430.85","$44,308"
"INVESTMENT ANALYST","$63.77","$1,913","$600.77","$13,217","$204.64","$3,274","$556","$8,904","$450.62","$7,661","$4.78","$110","$8.50","$212"
"INVESTMENT MANAGER",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"INVESTMENT TRUSTEE - DEFERRED COMPENSATION",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"IT ASSISTANT","$648.41","$38,256","$411.58","$27,988","$312.32","$20,613","$606","$36,949","$357.24","$21,792","$436.25","$26,611","$303.98","$17,023"
"IT ASSOCIATE","$1,509.97","$49,829","$1,763.56","$58,197","$869.57","$29,565","$844","$31,228","$251.61","$8,806","$538.52","$19,925","$330.77","$11,908"
"IT AUTOMATION AND MONITORING ENGINEER",NA,NA,NA,NA,NA,NA,"$0","$0","$837.02","$7,533","$29.40","$323","$1,345.08","$20,176"
"IT INFRASTRUCTURE ENGINEER",NA,NA,NA,NA,NA,NA,"$414","$3,722","$414.13","$3,313","$1,473.05","$17,677","$4,532.34","$72,517"
"IT PROJECT SPECIALIST",NA,NA,NA,NA,NA,NA,"$1,919","$24,951","$2,146.16","$45,069","$1,809.34","$112,179","$935.29","$95,399"
"IT SECURITY SPECIALIST",NA,NA,NA,NA,NA,NA,"$0","$0","$846.46","$22,008","$571.10","$23,415","$2,140.37","$141,265"
"IT SENIOR ASSOCIATE","$4,212.62","$122,166","$4,218.33","$118,113","$1,784.43","$41,042","$1,550","$35,655","$1,967.34","$49,184","$1,559.54","$42,108","$832.36","$23,306"
"IT SERVICE MANAGEMENT SPECIALIST",NA,NA,NA,NA,"$0.00","$0","-$2","-$5","$0.00","$0","$87.58","$263","$480.33","$12,008"
"IT SUPPORT ASSISTANT","$318.55","$17,521","$214.17","$10,923","$189.32","$11,549","$170","$9,539","$248.43","$11,179","$251.98","$10,079","$260.73","$10,690"
"JOB OPPORTUNITY SPECIALIST","$3,133.51","$3,324,656","$3,381.11","$3,617,786","$3,764.39","$4,106,945","$4,416","$4,491,342","$4,643.33","$4,392,595","$5,341.01","$4,523,836","$6,382.10","$5,507,751"
"JUNIOR PUBLIC HEALTH NURSE","$748.24","$14,217","$1,746.78","$31,442","$850.10","$9,351","$674","$7,415","$814.98","$8,965","$1,623.17","$17,855","$913.32","$10,046"
"JUVENILE COUNSELOR","$14,313.60","$3,335,070","$13,901.24","$2,821,951","$16,251.30","$3,087,748","$18,474","$2,955,844","$15,721.86","$2,295,392",NA,NA,NA,NA
"LAB SPECIALIST/ASSISTANT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LAB SPECIALIST/ASSISTANT-REG SUB","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LABOR RELATIONS ANALYST","$1,631.69","$9,790","$3,547.49","$39,022","$4,347.09","$60,859","$56","$783","$9.14","$155","$28.53","$342","$0.00","$0"
"LABOR RELATIONS ANALYST TRAINEE","$171.30","$514","$112.42","$1,349","$146.35","$1,463","$13","$160","$0.00","$0","$56.57","$566","$0.00","$0"
"LABOR RELATIONS TRIAL EXAMINER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LABORATORY ASSOCIATE","$951.65","$26,646","$1,993.28","$51,825","$2,964.32","$77,072","$1,050","$28,341","$1,407.46","$40,816","$1,039.76","$31,193","$2,177.21","$67,494"
"LABORATORY HELPER","$639.56","$5,117","$2,190.25","$24,093","$2,706.10","$32,473","$527","$7,372","$899.35","$10,792","$826.23","$11,567","$1,375.28","$16,503"
"LABORATORY MICROBIOLOGIST","$515.49","$13,918","$2,343.76","$60,938","$1,348.30","$33,708","$413","$11,162","$116.49","$2,796","$252.24","$5,549","$1,617.16","$38,812"
"LANDMARKS PRESERVATIONIST","$20.02","$601","$33.61","$1,244","$18.55","$668","$433","$12,993","$426.70","$14,508","$304.49","$11,266","$277.10","$9,975"
"LANDSCAPE ARCHITECT","$3,686.51","$210,131","$5,300.84","$386,961","$4,290.70","$321,802","$3,289","$273,014","$3,262.74","$267,545","$2,120.85","$180,273","$1,528.55","$128,398"
"LANDSCAPE ARCHITECT INTERN","$614.22","$1,228","$28.43","$142","$0.00","$0","$0","$0","$75.67","$757","$39.55","$79","$0.00","$0"
"LEAD ABATEMENT WORKER","$5,153.91","$206,156","$931.23","$31,662","$2,027.09","$60,813","$1,764","$54,694","$2,163.50","$56,251","$3,732.56","$85,849","$2,966.74","$74,168"
"LECTURER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LECTURER/DOCTORAL SCHEDULE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGAL COORDINATOR","$8,683.61","$164,989","$12,365.45","$234,943","$14,585.07","$306,287","$13,095","$340,476","$18,062.80","$451,570","$13,920.28","$278,406","$12,395.50","$272,701"
"LEGAL SECRETARIAL ASSISTANT",NA,NA,"$3,388.12","$101,644","$177.29","$1,064",NA,NA,NA,NA,NA,NA,"$2,202.06","$83,678"
"LEGAL SECRETARIAL ASSISTANT - AL 1 ONLY","$502.39","$3,014",NA,NA,NA,NA,"$5","$24","$0.00","$0","$1,562.09","$6,248","$354.90","$1,065"
"LEGAL SECRETARIAL ASSISTANT AL 2,3,4 ONLY","$4,009.27","$92,213",NA,NA,"$3,139.57","$94,187","$4,429","$137,285","$1,973.86","$67,111","$3,704.78","$140,781",NA,NA
"LEGISLATIVE ADMINISTRATIVE ASSISTANT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE ADMINISTRATIVE MANAGER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE ADMINISTRATIVE SECRETARY","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEGISLATIVE AIDE","$2,079.39","$2,079","$2,698.25","$2,698","$3,756.80","$3,757","$3,097","$3,097","$4,007.50","$4,008","$4,019.37","$4,019",NA,NA
"LEGISLATIVE ANALYST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE ASSISTANT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE ATTORNEY","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,"$0.00","$0"
"LEGISLATIVE CLERK","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"LEGISLATIVE COMPUTER SUPPORT SPECIALIST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE COORDINATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE COUNSEL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE FINANCIAL ANALYST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE INFORMATION OFFICER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE INVESTIGATOR","$60.72","$121","$1.10","$2","$0.49","$1","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE MESSENGER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"LEGISLATIVE POLICY ANALYST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE PROGRAMMER/ANALYST",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE PROJECT MANAGER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE SUPPORT SERVICE COORD","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LEGISLATIVE SYSTEMS MANAGER",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"LICENSED BARBER","$0.00","$0","$451.47","$2,709","$2,112.76","$14,789","$2,581","$23,232","$2,059.20","$20,592","$3,196.48","$31,965","$492.42","$3,447"
"LIEUTENANT","$27,112.50","$80,144,547","$26,637.56","$78,714,003","$29,487.33","$79,792,702","$32,707","$90,501,166","$28,896.20","$80,851,581","$30,051.04","$81,708,791","$30,423.53","$83,177,931"
"LIEUTENANT D/A COMMANDER OF DETECTIVE SQUAD","$38,106.61","$4,839,539","$42,970.01","$5,586,101","$44,085.09","$6,921,360","$44,324","$7,136,201","$42,495.61","$7,309,244","$41,831.73","$7,027,730","$51,397.47","$8,583,377"
"LIEUTENANT D/A SPECIAL ASSIGNMENT","$30,180.95","$2,897,372","$36,785.95","$3,457,879","$35,769.51","$4,614,267","$38,432","$5,534,226","$37,851.84","$5,867,035","$38,357.69","$5,792,012","$45,859.85","$6,191,079"
"LOCAL INSTRUCTIONAL SUPERVISOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"MAIL/MESSAGE SERVICES WORKER","$2,265.75","$58,910","$2,053.73","$57,505","$1,906.74","$51,482","$2,449","$66,113","$1,335.91","$34,734","$1,467.47","$38,154","$1,087.13","$27,178"
"MANAGEMENT AUDITOR","$633.20","$84,215","$839.72","$124,279","$935.60","$147,825","$1,197","$220,205","$796.55","$148,956","$1,008.09","$189,520","$802.21","$145,200"
"MANAGEMENT AUDITOR TRAINEE","$15.46","$588","$116.26","$814","$1,050.13","$9,451","$972","$10,694",NA,NA,"$0.00","$0",NA,NA
"MANAGER OF PARK LICENSE AGREEMENTS",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"MANAGER OF RADIO REPAIR OPERATIONS","$0.00","$0","$0.00","$0","$0.00","$0","$1,615","$6,460","$0.00","$0","$6,433.61","$32,168","$9,513.67","$47,568"
"MANAGER, WATER SUPPLY","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"MARINE ELECTRONICS TECHNICIAN","$12,551.94","$37,656","$12,596.36","$50,385","$10,920.22","$43,681","$11,042","$44,167","$12,643.26","$50,573","$10,655.63","$42,623","$3,253.73","$9,761"
"MARINE ENGINEER","$67,032.96","$2,547,252","$73,649.32","$2,725,025","$65,792.96","$2,500,132","$52,825","$2,271,477","$60,120.77","$2,525,073","$54,932.82","$2,362,111","$44,663.26","$1,920,520"
"MARINE MAINTENANCE MECHANIC","$9,389.43","$75,115","$5,817.52","$58,175","$7,849.80","$70,648","$5,954","$53,589","$3,465.24","$31,187","$4,034.74","$36,313","$8,176.59","$65,413"
"MARINE OILER","$36,964.55","$1,700,369","$38,900.98","$1,983,950","$46,537.80","$2,419,965","$40,355","$1,937,017","$42,023.39","$1,933,076","$46,320.94","$1,806,517","$47,407.03","$2,085,909"
"MARINER","$18,097.12","$271,457","$16,056.15","$272,954","$25,244.36","$353,421","$14,196","$212,933","$11,748.07","$176,221","$18,145.18","$235,887","$13,326.70","$199,900"
"MARKET AGENT","$1,440.73","$15,848","$1,324.15","$13,241","$1,234.26","$13,577","$2,404","$21,637","$3,632.28","$25,426","$3,971.44","$35,743","$6,587.53","$59,288"
"MATE","$27,223.70","$2,041,777","$28,850.81","$2,192,662","$32,383.40","$2,687,822","$31,500","$2,425,506","$31,703.93","$2,377,795","$32,094.39","$2,278,701","$34,383.42","$2,269,306"
"MAYOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"MAYORAL OFFICE ASSISTANT","$1,197.08","$89,781","$1,175.70","$75,245","$939.29","$51,661","$1,416","$62,294","$1,218.66","$51,184","$1,122.70","$38,172","$1,056.62","$33,812"
"MAYORAL PROGRAM COORDINATOR","$1,379.82","$26,217","$1,480.75","$28,134","$1,277.71","$16,610","$1,265","$16,448","$1,112.47","$13,350","$716.01","$6,444","$642.02","$5,136"
"MECHANICAL ENGINEER","$4,677.64","$173,073","$4,900.55","$176,420","$4,175.46","$158,668","$3,341","$116,920","$2,412.20","$57,893","$697.71","$11,861","$619.10","$8,667"
"MECHANICAL ENGINEERING INTERN","$1,144.64","$4,579","$2,151.28","$25,815","$514.71","$6,691","$743","$11,887","$1,394.22","$16,731","$1,388.48","$33,323","$3,716.66","$66,900"
"MEDIA SERVICES TECHNICIAN","$7,305.18","$197,240","$8,962.81","$268,884","$8,800.01","$220,000","$13,125","$328,126","$9,150.81","$430,088","$6,746.44","$317,083","$7,314.54","$336,469"
"MEDICAL DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"MEDICAL RECORD LIBRARIAN","$45.37","$272","$1,032.19","$6,193","$4,531.64","$40,785","$3,356","$30,208","$4,643.01","$37,144","$6,462.68","$45,239","$8,930.28","$53,582"
"MEDICOLEGAL ANALYST","$8,520.49","$17,041","$9,866.38","$19,733","$9,475.39","$18,951","$8,551","$8,551","$9,137.16","$9,137","$13,648.02","$13,648","$6,940.56","$13,881"
"MEDICOLEGAL INVESTIGATOR","$5,658.13","$130,137","$17,372.06","$399,557","$20,648.88","$495,573","$20,611","$453,451","$17,235.19","$396,409","$18,666.81","$485,337","$14,570.86","$495,409"
"MENTAL HEALTH WORKER","$90.95","$182","$14.05","$28","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"METAL WORK MECHANIC","$10,967.50","$350,960","$10,459.83","$387,014","$8,496.37","$339,855","$11,117","$455,809","$18,384.94","$864,092","$12,517.25","$613,345","$8,468.72","$406,499"
"MINORITY LEADER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"MONUMENTS OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"MOTOR VEHICLE OPERATOR","$6,479.63","$1,691,183","$8,497.28","$2,064,840","$9,083.35","$2,180,004","$10,589","$2,530,860","$10,476.49","$2,283,875","$9,290.43","$2,090,348","$8,700.96","$1,888,108"
"MOTOR VEHICLE SUPERVISOR","$9,673.03","$338,556","$11,716.95","$386,659","$12,268.01","$453,916","$12,145","$437,224","$11,430.40","$411,494","$12,078.44","$410,667","$9,932.94","$337,720"
"MULTIPLE DWELLING SPECIALIST","$1,232.54","$3,698","$323.55","$971","$1,180.91","$8,266","$1,441","$10,084","$3,059.94","$12,240","$3,291.05","$13,164","$6,845.07","$27,380"
"NEW LEADER","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEW PRINCIPAL INTERN","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"NEW YORK CITY FELLOW",NA,NA,NA,NA,"$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"NEW YORK CITY PUBLIC SERVICE FELLOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$1,142.11","$29,695"
"NURSE'S AIDE","$0.00","$0","$30.08","$60","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"NURSE PRACTICIONER","$0.00","$0","$0.00","$0","$5,669.35","$11,339","$1,193","$9,546","$2,034.87","$18,314","$2,259.75","$18,078","$1,137.97","$9,104"
"NUTRITION CONSULTANT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"NUTRITIONIST","$0.00","$0","$0.00","$0","$8.45","$68","$29","$323","$0.04","$0","$0.00","$0","$1,046.16","$9,415"
"NYCAPS PROCESS ANALYST","$1,259.54","$16,374",NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$87.15","$261"
"NYCAPS PROCESS ANALYST MANAGER","$72.09","$360","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"OCCUPATIONAL THERAPIST","$104.06","$17,481","$85.66","$102,366","$92.07","$118,220","$88","$122,888","$109.11","$159,959","$166.52","$262,606","$151.03","$254,493"
"OFFICE ASSISTANT","$3,074.01","$15,370","$3,411.88","$17,059","$3,366.71","$16,834","$2,036","$6,108","$903.06","$2,709","$2,117.84","$6,354","$797.48","$2,392"
"OFFICE MACHINE AIDE","$658.24","$48,051","$424.76","$27,184","$614.21","$35,624","$753","$39,911","$1,056.49","$53,881","$585.25","$24,580","$788.42","$29,960"
"OFFICE MANAGER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"OIL BURNER SPECIALIST",NA,NA,"$2,494.29","$4,989","$28,959.28","$57,919","$14,221","$56,884","$21,539.39","$172,315","$18,083.74","$90,419","$29,678.72","$148,394"
"OILER","$34,893.96","$34,894",NA,NA,"$12,963.65","$12,964",NA,NA,NA,NA,NA,NA,NA,NA
"OMBUDSMAN","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$308.88","$309","$462.41","$462"
"OPERATIONS COMMUNICATIONS SPECIALIST","$4,575.04","$91,501","$4,668.00","$102,696","$4,512.35","$94,759","$5,089","$111,950","$3,441.61","$68,832","$5,476.57","$93,102","$4,266.91","$68,270"
"P.O. DA DET GR3","$26,332.57","$67,832,688","$29,533.19","$80,389,351","$31,124.25","$83,537,480","$31,829","$86,638,071","$29,365.74","$85,366,192","$29,008.50","$88,359,901","$32,006.24","$98,067,118"
"P.O. DET SPEC","$21,262.29","$12,714,852","$26,741.59","$18,264,507","$27,116.84","$20,310,511","$27,425","$23,311,504","$25,721.88","$21,863,597","$25,204.99","$22,382,030","$26,892.99","$22,428,751"
"PARALEGAL AIDE","$2,168.19","$576,738","$1,297.76","$320,547","$1,392.46","$330,013","$1,313","$325,729","$1,002.70","$232,627","$1,451.46","$429,632","$1,329.14","$414,691"
"PARK BOROUGH COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"PARK SERVICES WORKER","$145.86","$146","$157.39","$157","$246.37","$246",NA,NA,NA,NA,NA,NA,NA,NA
"PARK SUPERVISOR","$5,402.79","$1,972,018","$5,122.55","$1,961,936","$6,458.16","$2,628,470","$6,674","$2,743,200","$7,826.82","$2,989,843","$7,846.17","$3,193,393","$8,226.36","$2,196,437"
"PARKING CONTROL SPECIALIST","$8,500.91","$127,514","$6,560.36","$78,724","$6,378.12","$76,537","$5,333","$58,664","$6,037.52","$60,375","$5,773.52","$57,735","$5,764.89","$57,649"
"PEER COUNSELOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"PENSION INVESTMENT ADVISOR",NA,NA,"$0.00","$0","$0.00","$0","$0","$0",NA,NA,"$0.00","$0","$0.00","$0"
"PERSONNEL DIRECTOR - HEALTH CARE FACILITIES","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHARMACY TECHNICIAN","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHOTOGRAPHER","$3,501.02","$80,524","$3,173.19","$76,157","$5,532.39","$132,777","$5,782","$127,196","$5,387.81","$118,532","$5,645.29","$112,906","$4,070.63","$61,060"
"PHYSICAL THERAPIST","$33.23","$1,429","$45.02","$22,646","$38.29","$19,717","$42","$22,477","$61.47","$32,641","$103.34","$56,838","$85.20","$47,118"
